model_code_name,model_display_name,selection_rule,selected_threshold,threshold,validation_accuracy,validation_balanced_accuracy,validation_MCC,validation_F1,validation_Youden_J,validation_recall,validation_specificity,test_accuracy,test_precision,test_recall,test_specificity,test_balanced_accuracy,test_MCC,test_AUC,test_F1,test_TP,test_TN,test_FP,test_FN
hybrid_vit,Hybrid ViT,Youden_J,0.28,0.28,0.9120734908136483,0.9203502415458937,0.6557455927684194,0.6666666666666667,0.8407004830917875,0.9305555555555556,0.9101449275362319,0.9219380888290714,0.5585585585585585,0.8732394366197183,0.9270833333333334,0.9001613849765258,0.6600228263444523,0.9621688464118041,0.6813186813186813,62,623,49,9
hybrid_vit,Hybrid ViT,max_F1,0.74,0.74,0.9488188976377953,0.9095410628019324,0.7388159896688318,0.7607361963190185,0.8190821256038647,0.8611111111111112,0.9579710144927536,0.9488559892328399,0.7323943661971831,0.7323943661971831,0.9717261904761905,0.8520602783366868,0.7041205566733736,0.9621688464118041,0.7323943661971831,52,653,19,19
hybrid_vit,Hybrid ViT,max_balanced_accuracy,0.28,0.28,0.9120734908136483,0.9203502415458937,0.6557455927684194,0.6666666666666667,0.8407004830917875,0.9305555555555556,0.9101449275362319,0.9219380888290714,0.5585585585585585,0.8732394366197183,0.9270833333333334,0.9001613849765258,0.6600228263444523,0.9621688464118041,0.6813186813186813,62,623,49,9
hybrid_vit,Hybrid ViT,max_MCC,0.74,0.74,0.9488188976377953,0.9095410628019324,0.7388159896688318,0.7607361963190185,0.8190821256038647,0.8611111111111112,0.9579710144927536,0.9488559892328399,0.7323943661971831,0.7323943661971831,0.9717261904761905,0.8520602783366868,0.7041205566733736,0.9621688464118041,0.7323943661971831,52,653,19,19
focus_dnn,Focus-DNN,fixed_0p50,0.5,0.5,0.821522309711286,0.702415458937198,0.3024746502072529,0.3703703703703704,0.40483091787439607,0.5555555555555556,0.8492753623188406,0.8438761776581427,0.3228346456692913,0.5774647887323944,0.8720238095238095,0.7247442991281019,0.35102679935287645,0.9079896042924213,0.41414141414141414,41,586,86,30
focus_dnn,Focus-DNN,Youden_J,0.41,0.41,0.6430446194225722,0.7780193236714976,0.32758298314632717,0.33333333333333337,0.5560386473429952,0.9444444444444444,0.6115942028985507,0.6473755047106325,0.20615384615384616,0.9436619718309859,0.6160714285714286,0.7798667002012072,0.3317150777872612,0.9079896042924213,0.33838383838383834,67,414,258,4
focus_dnn,Focus-DNN,max_F1,0.79,0.79,0.9094488188976378,0.694987922705314,0.4268004154383579,0.4732824427480916,0.3899758454106279,0.4305555555555556,0.9594202898550724,0.9152086137281292,0.5666666666666667,0.4788732394366197,0.9613095238095238,0.7200913816230717,0.4749641889790027,0.9079896042924213,0.5190839694656487,34,646,26,37
focus_dnn,Focus-DNN,max_balanced_accuracy,0.41,0.41,0.6430446194225722,0.7780193236714976,0.32758298314632717,0.33333333333333337,0.5560386473429952,0.9444444444444444,0.6115942028985507,0.6473755047106325,0.20615384615384616,0.9436619718309859,0.6160714285714286,0.7798667002012072,0.3317150777872612,0.9079896042924213,0.33838383838383834,67,414,258,4
focus_dnn,Focus-DNN,max_MCC,0.82,0.82,0.9291338582677166,0.6498792270531402,0.4829883471102914,0.44897959183673475,0.2997584541062803,0.3055555555555556,0.9942028985507246,0.9232839838492598,0.7692307692307693,0.28169014084507044,0.9910714285714286,0.6363807847082495,0.4363658342659008,0.9079896042924213,0.4123711340206186,20,666,6,51
classical_ml,Classical ML,fixed_0p50,0.5,0.5,0.9330708661417323,0.7702294685990339,0.5825451219480335,0.6165413533834587,0.5404589371980677,0.5694444444444444,0.9710144927536232,0.9394347240915208,0.7708333333333334,0.5211267605633803,0.9836309523809523,0.7523788564721663,0.6036479829464343,0.8568494299128102,0.6218487394957983,37,661,11,34
classical_ml,Classical ML,Youden_J,0.46,0.46,0.931758530183727,0.7757246376811595,0.5815387594160228,0.6176470588235293,0.551449275362319,0.5833333333333334,0.9681159420289855,0.9394347240915208,0.7708333333333334,0.5211267605633803,0.9836309523809523,0.7523788564721663,0.6036479829464343,0.8568494299128102,0.6218487394957983,37,661,11,34
classical_ml,Classical ML,max_F1,0.71,0.71,0.94750656167979,0.7657608695652174,0.6527943672369048,0.6610169491525423,0.5315217391304348,0.5416666666666666,0.9898550724637681,0.9394347240915208,0.8611111111111112,0.43661971830985913,0.9925595238095238,0.7145896210596915,0.587613225715903,0.8568494299128102,0.5794392523364487,31,667,5,40
classical_ml,Classical ML,max_balanced_accuracy,0.46,0.46,0.931758530183727,0.7757246376811595,0.5815387594160228,0.6176470588235293,0.551449275362319,0.5833333333333334,0.9681159420289855,0.9394347240915208,0.7708333333333334,0.5211267605633803,0.9836309523809523,0.7523788564721663,0.6036479829464343,0.8568494299128102,0.6218487394957983,37,661,11,34
classical_ml,Classical ML,max_MCC,0.71,0.71,0.94750656167979,0.7657608695652174,0.6527943672369048,0.6610169491525423,0.5315217391304348,0.5416666666666666,0.9898550724637681,0.9394347240915208,0.8611111111111112,0.43661971830985913,0.9925595238095238,0.7145896210596915,0.587613225715903,0.8568494299128102,0.5794392523364487,31,667,5,40
threshold_baselines,Threshold baselines,fixed_0p50,0.5,0.5,0.7860892388451444,0.6952898550724638,0.2716204081071392,0.3400809716599191,0.39057971014492754,0.5833333333333334,0.8072463768115942,0.8331090174966352,0.3037037037037037,0.5774647887323944,0.8601190476190477,0.718791918175721,0.3336233266216543,0.6903294768611671,0.39805825242718446,41,578,94,30
threshold_baselines,Threshold baselines,Youden_J,0.64,0.64,0.8280839895013123,0.7184782608695652,0.3273525106212383,0.39069767441860465,0.43695652173913047,0.5833333333333334,0.8536231884057971,0.8600269179004038,0.35398230088495575,0.5633802816901409,0.8913690476190477,0.7273746646545942,0.37228572308835045,0.6903294768611671,0.4347826086956522,40,599,73,31
threshold_baselines,Threshold baselines,max_F1,0.82,0.82,0.8569553805774278,0.7095410628019323,0.34492792947602263,0.41081081081081083,0.4190821256038646,0.5277777777777778,0.8913043478260869,0.8748317631224765,0.3804347826086957,0.49295774647887325,0.9151785714285714,0.7040681589537223,0.3642794271967647,0.6903294768611671,0.4294478527607362,35,615,57,36
threshold_baselines,Threshold baselines,max_balanced_accuracy,0.64,0.64,0.8280839895013123,0.7184782608695652,0.3273525106212383,0.39069767441860465,0.43695652173913047,0.5833333333333334,0.8536231884057971,0.8600269179004038,0.35398230088495575,0.5633802816901409,0.8913690476190477,0.7273746646545942,0.37228572308835045,0.6903294768611671,0.4347826086956522,40,599,73,31
threshold_baselines,Threshold baselines,max_MCC,0.82,0.82,0.8569553805774278,0.7095410628019323,0.34492792947602263,0.41081081081081083,0.4190821256038646,0.5277777777777778,0.8913043478260869,0.8748317631224765,0.3804347826086957,0.49295774647887325,0.9151785714285714,0.7040681589537223,0.3642794271967647,0.6903294768611671,0.4294478527607362,35,615,57,36
vit,ViT,fixed_0p50,0.5,0.5,0.8727034120734908,0.6809178743961353,0.32953362090086674,0.39751552795031053,0.36183574879227054,0.4444444444444444,0.9173913043478261,0.8977119784656796,0.45454545454545453,0.352112676056338,0.9553571428571429,0.6537349094567404,0.3452556060301749,0.7398977196512408,0.3968253968253968,25,642,30,46
vit,ViT,Youden_J,0.45,0.45,0.8385826771653543,0.7056159420289855,0.3207604860474742,0.3880597014925373,0.41123188405797095,0.5416666666666666,0.8695652173913043,0.8707940780619112,0.34177215189873417,0.38028169014084506,0.9226190476190477,0.6514503688799463,0.2888793888826633,0.7398977196512408,0.36,27,620,52,44
vit,ViT,max_F1,0.48,0.48,0.8713910761154856,0.6988526570048309,0.35057380021732815,0.41666666666666663,0.3977053140096618,0.4861111111111111,0.9115942028985508,0.8909825033647375,0.4166666666666667,0.352112676056338,0.9479166666666666,0.6500146713615023,0.32373642344702525,0.7398977196512408,0.38167938931297707,25,637,35,46
vit,ViT,max_balanced_accuracy,0.45,0.45,0.8385826771653543,0.7056159420289855,0.3207604860474742,0.3880597014925373,0.41123188405797095,0.5416666666666666,0.8695652173913043,0.8707940780619112,0.34177215189873417,0.38028169014084506,0.9226190476190477,0.6514503688799463,0.2888793888826633,0.7398977196512408,0.36,27,620,52,44
vit,ViT,max_MCC,0.62,0.62,0.8858267716535433,0.6819444444444445,0.3531579117518386,0.4161073825503356,0.36388888888888893,0.4305555555555556,0.9333333333333333,0.917900403768506,0.65625,0.29577464788732394,0.9836309523809523,0.6397028001341382,0.40461234383775563,0.7398977196512408,0.4077669902912621,21,661,11,50
